"","GAIa","GAIb","GAIIa","GAIIb","GAIII"
"C5",0.83744557329463,0.294629898403483,0.906716417910448,0.354838709677419,0.0856313497822932
"C117",0.854862119013062,0.3033381712627,0.906716417910448,0.39247311827957,0.0624092888243832
"S177",0.60377358490566,0.259796806966618,0.880597014925373,0.478494623655914,0.126269956458636
"S58",0.65021770682148,0.277213352685051,0.925373134328358,0.462365591397849,0.104499274310595
"S63",0.624092888243832,0.281567489114659,0.880597014925373,0.478494623655914,0.108853410740203
"S53",0.554426705370102,0.252539912917271,0.91044776119403,0.510752688172043,0.11611030478955
"S187",0.62844702467344,0.265602322206096,0.914179104477612,0.478494623655914,0.0957910014513788
"S172",0.631349782293179,0.277213352685051,0.914179104477612,0.505376344086022,0.0986937590711176
"P3Hs111",0.476052249637155,0.298984034833091,0.667910447761194,0.451612903225806,0.114658925979681
"P3Hs42",0.457184325108853,0.290275761973875,0.694029850746269,0.440860215053763,0.103047895500726
"P3Hs12",0.426705370101597,0.296081277213353,0.656716417910448,0.435483870967742,0.123367198838897
"P3Hs159",0.454281567489115,0.285921625544267,0.652985074626866,0.403225806451613,0.123367198838897
"P3Hs139",0.429608127721335,0.314949201741655,0.645522388059702,0.478494623655914,0.123367198838897
"P3Hs61",0.473149492017417,0.32656023222061,0.649253731343284,0.413978494623656,0.126269956458636
"P3Hs194",0.476052249637155,0.309143686502177,0.641791044776119,0.408602150537634,0.121915820029028
"P3Hs154",0.447024673439768,0.323657474600871,0.652985074626866,0.473118279569892,0.117561683599419
"P3Hs132",0.462989840348331,0.307692307692308,0.641791044776119,0.408602150537634,0.127721335268505
"P3Hs198",0.499274310595065,0.32510885341074,0.667910447761194,0.467741935483871,0.114658925979681
"P3Hs31",0.480406386066763,0.307692307692308,0.652985074626866,0.424731182795699,0.117561683599419
"P3Hs166",0.460087082728592,0.328011611030479,0.664179104477612,0.451612903225806,0.111756168359942
